epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.85386,0.81809,0.71729,0.84196,0.89315,0.80153,0.87211,0.61998,0.86935,0.50694,0.89,8.335e-05,8.335e-05,8.335e-05
2,3.81924,0.76457,0.71865,0.85957,0.93647,0.7608,0.87634,0.60204,0.91075,0.52273,0.88631,0.000182462,0.000182462,0.000182462
3,4.60805,0.74037,0.60142,0.85183,0.92097,0.81121,0.86242,0.60151,0.95582,0.59778,0.87115,0.000280584,0.000280584,0.000280584
4,5.33271,1.01188,0.68581,0.87283,0.84008,0.80274,0.85154,0.57417,1.02994,0.605,0.90398,0.000377716,0.000377716,0.000377716
5,6.09197,0.78466,0.67851,0.83716,0.75854,0.792,0.8718,0.55896,1.04985,0.63464,0.91225,0.000473858,0.000473858,0.000473858
6,6.86613,0.9105,0.69132,0.87923,0.75895,0.76053,0.87666,0.56899,1.06217,0.65421,0.90183,0.00056901,0.00056901,0.00056901
7,7.65404,0.86348,0.6737,0.87304,0.77531,0.76316,0.85486,0.58085,0.87622,0.59928,0.88904,0.000663171,0.000663171,0.000663171
8,8.37171,0.76388,0.59403,0.82847,0.78612,0.76316,0.84864,0.56534,0.88076,0.62255,0.88484,0.000756342,0.000756342,0.000756342
9,9.0751,0.7473,0.60615,0.85434,0.75711,0.73684,0.79273,0.54157,0.92321,0.63709,0.89087,0.000848523,0.000848523,0.000848523
10,9.75029,0.81973,0.62416,0.86373,0.70154,0.68421,0.72902,0.49601,1.09675,0.68765,0.907,0.000939714,0.000939714,0.000939714
11,10.442,0.89813,0.6543,0.86519,0.62913,0.68421,0.69437,0.47723,1.14773,0.70275,0.91862,0.00102991,0.00102991,0.00102991
12,11.1728,0.89053,0.7375,0.8677,0.59903,0.65789,0.70183,0.50446,1.07706,0.72095,0.90758,0.00111912,0.00111912,0.00111912
13,11.8855,1.00002,0.70647,0.88074,0.63536,0.65789,0.69448,0.5258,0.96952,0.74582,0.87811,0.00120734,0.00120734,0.00120734
14,12.5658,0.75934,0.56423,0.84236,0.58814,0.65789,0.69383,0.52676,0.97734,0.74012,0.88056,0.00129457,0.00129457,0.00129457
15,13.2255,0.80305,0.58714,0.83606,0.58814,0.65789,0.69383,0.52676,0.97734,0.74012,0.88056,0.00138081,0.00138081,0.00138081
16,13.895,0.90606,0.68767,0.91078,0.60505,0.68421,0.75376,0.54826,0.9357,0.734,0.90454,0.00146606,0.00146606,0.00146606
17,14.5804,0.94849,0.63931,0.90796,0.6066,0.68421,0.74752,0.52533,1.03595,0.67838,0.96426,0.00153497,0.00153497,0.00153497
18,15.2707,0.82748,0.61605,0.8483,0.61886,0.7264,0.7627,0.51815,1.14561,0.71145,1.00204,0.00152672,0.00152672,0.00152672
19,15.9987,0.77659,0.58491,0.86935,0.61886,0.7264,0.7627,0.51815,1.14561,0.71145,1.00204,0.00151847,0.00151847,0.00151847
20,16.7178,0.90223,0.65582,0.88101,0.63046,0.76316,0.76927,0.53341,1.16998,0.69304,0.98636,0.00151022,0.00151022,0.00151022
21,17.4119,0.89301,0.62193,0.86717,0.68919,0.76316,0.78529,0.55106,1.1616,0.66679,0.95611,0.00150197,0.00150197,0.00150197
22,18.1079,0.78522,0.63259,0.85998,0.69203,0.74244,0.77036,0.53366,1.08139,0.63638,0.93039,0.00149372,0.00149372,0.00149372
23,18.8001,0.77553,0.54455,0.86117,0.69203,0.74244,0.77036,0.53366,1.08139,0.63638,0.93039,0.00148546,0.00148546,0.00148546
24,19.4802,0.73367,0.56047,0.83281,0.68153,0.80247,0.76281,0.5028,0.93585,0.64284,0.88465,0.00147721,0.00147721,0.00147721
